model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
lightgbm_balanced,31,0.846388766336227,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9732054061123463,0.89,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.02,75800,0.8888888888888888,0.810126582278481,0.847682119205298,15,8,1076,0.07893457159536213,169,5,37,0.7284984301737292,0.9397950269558635,2.4102090309832953e-05,0.0021374026708202553
lightgbm_balanced,32,0.8439032901604189,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9746153696319403,0.05,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.05,70800,0.8904109589041096,0.8227848101265823,0.8552631578947368,14,8,930,0.07822049736889743,170,5,33,0.7122309235479091,0.9653441232087064,0.0009320148868844078,0.0011432003504676551
lightgbm_balanced,33,0.8387471731533771,0.9,0.7974683544303798,0.8456375838926175,0.9730067256400767,0.8200000000000001,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.09999999999999999,70900,0.8783783783783784,0.8227848101265823,0.8496732026143791,14,9,1007,0.12529841974672393,200,6,43,0.7430871296018853,0.9084426299397242,0.013340222824651714,0.0002495346832039776
lightgbm_balanced,34,0.8413472934310394,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9682319942343706,0.2,0.9014084507042254,0.810126582278481,0.8533333333333334,0.05,71100,0.8552631578947368,0.8227848101265823,0.8387096774193549,14,11,1134,0.05423726139567092,110,8,54,0.6866295836032222,0.8584480795841403,1.7859896430749865e-05,0.31244545267315454
lightgbm_balanced,35,0.8372338965777835,0.8840579710144928,0.7721518987341772,0.8243243243243243,0.9722184038222339,0.93,0.953125,0.7721518987341772,0.8531468531468531,0.02,71900,0.7738095238095238,0.8227848101265823,0.7975460122699386,14,19,675,0.03772035698342004,68,7,18,0.8356740192630224,0.95948049366248,1.6407530458222802e-06,0.10151575809273215
lightgbm_balanced,36,0.8383481939599102,0.8513513513513513,0.7974683544303798,0.8235294117647058,0.9722253604214028,0.98,0.967741935483871,0.759493670886076,0.851063829787234,0.08,67400,0.7333333333333333,0.8354430379746836,0.7810650887573964,13,24,901,0.023252243681760563,230,5,30,0.6231924069265391,0.7506198266467331,0.0002612542825576269,0.889247887495475
lightgbm_balanced,37,0.8453369795904312,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9747951281544699,0.91,0.9523809523809523,0.759493670886076,0.8450704225352113,0.02,76000,0.8648648648648649,0.810126582278481,0.8366013071895425,15,10,1198,0.08399020832810772,20,6,40,0.7337549579853423,0.9879050130305161,4.257742529802574e-08,0.003132975989514645
lightgbm_balanced,38,0.8508092296139892,0.8873239436619719,0.7974683544303798,0.84,0.9750697746896662,0.91,0.9682539682539683,0.7721518987341772,0.8591549295774648,0.01,63200,0.6767676767676768,0.8481012658227848,0.7528089887640449,12,32,972,0.11381210111123388,164,4,22,0.7638378964743198,0.8059158119884238,0.0009081892782503397,4.033418973037991
lightgbm_balanced,39,0.8505914279613184,0.8873239436619719,0.7974683544303798,0.84,0.9764635988991877,0.85,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.15000000000000002,71300,0.8333333333333334,0.8227848101265823,0.8280254777070064,14,13,847,0.11298084593303927,157,4,21,0.9011260175061789,0.829157207424051,0.1032471730574944,4.200065943910735
lightgbm_balanced,40,0.8389771268157917,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9732059626402798,0.81,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.05,76100,0.8533333333333334,0.810126582278481,0.8311688311688312,15,11,788,0.18385733930789247,153,4,21,0.9588100004493645,0.8072627250469091,0.037931076248394154,0.5824383663017187
