model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,smote_sampling_strategy,smote_k_neighbors,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
smote_lightgbm,50,0.836556674603864,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9693308586391223,0.53,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.21000000000000002,80600,0.9130434782608695,0.7974683544303798,0.8513513513513513,16,6,0.3779263088305383,7,1024,0.11690517826436822,44,9,37,0.959859346798425,0.5233651849252785,1.1815405514292841e-08,5.733581687533351e-07
smote_lightgbm,51,0.8365800553110032,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.979805827403992,0.68,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,68000,0.6875,0.8354430379746836,0.7542857142857143,13,30,0.3868020837803808,8,1070,0.16608337965185235,86,11,28,0.8112712423473252,0.5457568379219883,5.297003485509813e-06,0.409657467328103
smote_lightgbm,52,0.8269963991184949,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9688130093969742,0.67,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,71800,0.7831325301204819,0.8227848101265823,0.8024691358024691,14,18,0.44024733191673976,9,985,0.17139791409176566,116,5,24,0.8381963276156232,0.5715491587771245,2.3960668953275322e-05,0.04032107352102994
smote_lightgbm,53,0.8362010738012546,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9766901057681339,0.74,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,72100,0.7558139534883721,0.8227848101265823,0.7878787878787878,14,21,0.40662685795808945,8,1032,0.13895229286355743,135,12,19,0.9038667656222913,0.5475208352885317,1.6701357398505492e-06,0.15436948734089526
smote_lightgbm,54,0.8366058252092197,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9777911962846194,0.8300000000000001,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,64700,0.5877192982456141,0.8481012658227848,0.694300518134715,12,47,0.31134142467136694,7,796,0.11995546778254976,66,10,45,0.759632582007433,0.5957796049102931,5.716886883081924e-05,4.596549668267164
smote_lightgbm,55,0.8204376796033718,0.8472222222222222,0.7721518987341772,0.8079470198675497,0.9755728759415758,0.77,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.02,71200,0.515625,0.8354430379746836,0.6376811594202898,13,62,0.39038511162014594,8,1161,0.1835148777271944,150,11,36,0.7960660031523507,0.6561006035536836,0.45089178331826063,0.005007891423569502
smote_lightgbm,56,0.8483355266526652,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9733531642786981,0.27,0.927536231884058,0.810126582278481,0.8648648648648649,0.01,62500,0.7282608695652174,0.8481012658227848,0.783625730994152,12,25,0.36680554944510324,7,1086,0.1517285483434505,26,11,55,0.8637578634446061,0.5171175023487049,0.00026518389079369407,1.0011050958330658
smote_lightgbm,57,0.8433560756078077,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9778443447022716,0.44,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.02,63200,0.6767676767676768,0.8481012658227848,0.7528089887640449,12,32,0.36891528632925397,7,724,0.09148998457914082,27,12,66,0.8736627345920785,0.5172489101135932,0.0002044369262013654,0.9904634317319279
smote_lightgbm,58,0.8414473524849139,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9751117925486474,0.45,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.01,68300,0.6666666666666666,0.8354430379746836,0.7415730337078652,13,33,0.36595398551897373,6,954,0.09428516499725562,23,10,66,0.8715037298629676,0.5186139027178994,0.0002816610704828024,0.6611781519862052
smote_lightgbm,59,0.8409684399699888,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9772942168399787,0.32,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.060000000000000005,62500,0.7282608695652174,0.8481012658227848,0.783625730994152,12,25,0.3215973644779,7,855,0.07581821810208517,22,11,78,0.9175937472058115,0.5580662218915236,0.0027468246074360257,6.278516496301927
smote_lightgbm,60,0.834633346131743,0.9142857142857143,0.810126582278481,0.8590604026845637,0.971139852687056,0.42000000000000004,0.9142857142857143,0.810126582278481,0.8590604026845637,0.42000000000000004,75600,0.9142857142857143,0.810126582278481,0.8590604026845637,15,6,0.4771784022589093,6,1107,0.14839667904602152,16,12,50,0.8511031889852333,0.5168631489468264,0.00017564644369000412,0.12778451778541464
smote_lightgbm,61,0.8401970292044671,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9754507180601663,0.8200000000000001,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.01,68500,0.6534653465346535,0.8354430379746836,0.7333333333333333,13,35,0.36679076162497753,6,936,0.11203495581093476,29,10,60,0.8707338381255638,0.5165559061191177,0.00027949242610050715,0.694511848784976
smote_lightgbm,62,0.8407109432683686,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9722089428473639,0.53,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,63900,0.6320754716981132,0.8481012658227848,0.7243243243243244,12,39,0.3722427639917468,7,973,0.0956740026250678,24,10,68,0.8917261882978011,0.5371179356308673,0.001208283394628407,1.1767373709227527
smote_lightgbm,63,0.8384341260065821,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.97951448503079,0.8,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.03,66400,0.825,0.8354430379746836,0.8301886792452831,13,14,0.35876153998774957,4,1048,0.09112388590492992,41,10,73,0.9533280293125422,0.5751671632216603,0.012168041399792079,0.3981991235143744
smote_lightgbm,64,0.8417989665040911,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.9718597215690749,0.73,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.19,75800,0.8888888888888888,0.810126582278481,0.847682119205298,15,8,0.4214991791519816,6,1087,0.1277541273636048,53,9,63,0.8222647755812583,0.5012309289687036,0.00242686053266879,0.037422894733274405
smote_lightgbm,65,0.8363058281787009,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9686555119917857,0.45,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,72400,0.7303370786516854,0.8227848101265823,0.7738095238095238,14,24,0.3979521197668845,7,1082,0.13115035467399433,57,8,56,0.8182675691087947,0.5010565281282536,0.0019047189937972525,0.05420803770226832
smote_lightgbm,66,0.8333143597205435,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.979093193385109,0.8,0.9545454545454546,0.7974683544303798,0.8689655172413793,0.01,64900,0.5775862068965517,0.8481012658227848,0.6871794871794872,12,49,0.4145534837449099,5,1122,0.15105654026201626,47,9,54,0.5441056874604528,0.5532882436531927,0.09698244791683173,0.02578448071333699
